category,prompt,enabled
landscape,"landscape photography, mountains, lakes, rivers, forests, waterfalls, scenic natural vista",1
landscape,"wide outdoor nature scene with land, water, sky, trees, or mountains",1
wildlife,"wildlife photography, animals, birds, mammals, animal close-up in nature",1
wildlife,"animal subject outdoors, including full body or close detail of an animal",1
people_portrait,"portrait or people photography, face, person, group, candid human subject",1
people_portrait,"human subject photo with expression, pose, or people in the scene",1
travel_built,"travel photography with roads, trains, vehicles, signs, buildings, bridges, towns, or human-made structures",1
travel_built,"built environment, transportation, sign, street, town, bridge, or travel documentary scene",1
night_astro,"night photography, stars, milky way, dark sky, moon, city lights, low light scene",1
night_astro,"dark low-light photograph with night sky, stars, sunset glow, or artificial lights",1
macro_detail,"macro photography or close-up detail of flowers, plants, leaves, rocks, objects, or small non-animal subjects",1
macro_detail,"close detail shot, botanical detail, texture, small object, shallow depth of field",1
abstract_texture,"abstract photography, patterns, textures, shapes, minimal subject",1
abstract_texture,"graphic texture or abstract visual composition",1
product_still_life,"product photography, food photography, still life object arranged indoors or on a table",1
product_still_life,"commercial object, product, food, drink, or still life composition",1
street_documentary,"street photography, candid documentary scene, people in public spaces, everyday moment",1
street_documentary,"urban documentary photograph with gesture, street life, crowd, market, or public interaction",1
architecture,"architecture photography, building facade, interior or exterior architectural design, geometric structure",1
architecture,"architectural composition with lines, symmetry, windows, towers, bridges, or designed spaces",1
sports_action,"sports photography, athlete, action moment, competition, fast movement, game or race",1
sports_action,"action photograph with human motion, performance, speed, physical activity, or decisive sports moment",1
event_stage,"event photography, concert, stage performance, ceremony, festival, presentation, show lighting",1
event_stage,"indoor or outdoor event scene with performers, audience, stage lights, celebration, or gathering",1
vehicle_transport,"vehicle photography, cars, trains, boats, aircraft, bicycles, motorcycles, transportation subject",1
vehicle_transport,"transport scene featuring vehicle shape, motion, road, railway, airport, harbor, or transit",1
interior_space,"interior photography, room, hallway, museum, hotel, restaurant, indoor architectural space",1
interior_space,"indoor space with furniture, walls, windows, ceiling, ambient light, or designed interior",1
aerial_drone,"aerial photography, drone view, top down landscape, city grid, fields, coastline from above",1
aerial_drone,"high viewpoint photograph with map-like patterns, scale, roads, rooftops, terrain, or overhead geometry",1
water_coastal,"water photography, ocean, beach, coast, river, lake, waves, reflections, shoreline",1
water_coastal,"coastal or water scene with horizon, boats, surf, wet rocks, reflections, or blue water texture",1
